,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,REE
RJ-D14-6,43.49143942,6.790757868,55.24972612,1.762715045,6.714316981,1.083006405,0.141238737,0.744413638,0.098041963,0.604078978,0.126612245,0.379927632,0.056950465,0.339461169,3.365031775,120.9477184
RJ-D13-2,6.490785783,84.92274864,1.440649184,5.386021563,0.839480383,0.112931842,0.699286117,0.088416463,0.535013358,0.114212827,0.342670199,0.048447303,0.294550321,0.043060869,3.102276339,104.4605512
RJ-D14-13,41.35588717,10.16768281,18.29953659,2.522968458,9.106495615,1.379751584,0.136687796,0.892638422,0.121196458,0.710237425,0.140583555,0.412375434,0.060625213,0.351970393,3.961475462,89.62011239
RJ-D10-10,8.34674383,146.8153666,1.731440105,6.251222249,0.861222805,0.101334707,0.897738496,0.089260577,0.494941588,0.117661669,0.378746413,0.057779848,0.360659658,0.05484686,3.422942701,169.9819081
RJ-D13-6,12.71631423,130.434959,3.003693037,11.37078186,1.812970513,0.204045599,1.235705114,0.156311644,0.926128374,0.201023526,0.590054764,0.086442805,0.53757831,0.076614896,4.786609733,168.1392334
RJ-D6-3,3.01742461,106.433579,0.585414425,2.079723248,0.282442428,0.033877642,0.390850489,0.032901001,0.183656483,0.04114257,0.122414262,0.017548117,0.106490116,0.015634589,1.379183537,114.7222825
RJ-D6-2,2.921564184,61.9369486,0.549642215,1.968305188,0.254779144,0.031182995,0.306239237,0.028297947,0.164177646,0.037529406,0.115964347,0.016379657,0.098082701,0.014303335,1.257460563,69.70085717
RJ-D14-8,43.40281987,9.316903484,40.20981161,2.322103679,8.423643021,1.348889752,0.17184817,0.926947554,0.125673803,0.772317953,0.159379896,0.480414329,0.07151394,0.429209149,4.360050714,112.5215269
RJ-D7-12,25.26841027,60.40788933,6.298061366,23.19339478,2.403048802,0.185095287,1.301884381,0.151511866,0.8606918,0.180814085,0.598636372,0.088476117,0.566684611,0.083953788,4.936163429,126.5247163
RJ-D7-1,4.301002992,87.97614236,0.869571483,3.131152244,0.458808706,0.053876744,0.475426453,0.045885177,0.265279034,0.056432521,0.174253186,0.02436824,0.14609212,0.020893215,1.792076701,99.79126118
RJ-D7-2,4.342801215,95.33261246,0.936225361,3.398537215,0.51223463,0.059130338,0.508510668,0.049894815,0.271862768,0.058326136,0.178613498,0.025501655,0.149839007,0.020120988,1.739587864,107.5837986
RJ-D16-5,4.357908613,83.47758975,1.066955703,4.105717889,0.667903478,0.092802876,0.622352732,0.069649656,0.410225274,0.085344971,0.263087432,0.038504734,0.239829611,0.035116725,2.418908438,97.95189788
RJ-D6-7,5.368735896,32.52511728,1.22996328,4.532242433,0.645915441,0.072280171,0.4733046,0.056151196,0.34845909,0.075439328,0.242114753,0.035455003,0.228426385,0.032451368,2.089038882,47.95509511
RJ-D7-3,5.06435123,135.8107804,1.137790845,4.197758682,0.599078871,0.068415849,0.62909806,0.059836732,0.326377878,0.067761705,0.201267693,0.02961638,0.171872737,0.023959199,2.005858592,150.3938249
RJ-D10-8,8.860910272,36.03495294,1.845520665,6.570884494,0.91361916,0.111487442,0.69587492,0.090764128,0.551359698,0.123493015,0.393693142,0.059380264,0.363305591,0.055096117,3.660554149,60.330896
RJ-D7-6,6.330103367,45.6472962,1.497491573,5.616583128,0.853451342,0.095125475,0.627820629,0.072672961,0.427475306,0.089099645,0.277887867,0.040644508,0.239340974,0.03403349,2.526084706,64.37511117
RJ-D11-3,40.34484813,5.705897407,146.01159,1.437041754,5.249569081,0.762971632,0.093802293,0.709765666,0.07781522,0.467913417,0.100451323,0.301691077,0.044137413,0.254753917,2.982413222,204.5446616
RJ-D13-8,29.21410593,134.7202609,6.903121634,25.01489628,3.495162226,0.30419943,2.03926405,0.251121537,1.346305852,0.272826786,0.78393491,0.111119881,0.667299015,0.093765557,6.770619695,211.9880037
RJ-D15-3,6.866748612,145.5421113,1.431229841,5.126952664,0.656242504,0.068753204,0.609440571,0.061479278,0.361769342,0.078604865,0.228716366,0.032367597,0.202090502,0.029107869,2.277486787,163.5731013
RJ-D10-11,8.072451143,17.30358751,1.563463823,5.575552089,0.772251931,0.084823362,0.585016418,0.076265375,0.469980053,0.111773928,0.373619957,0.057920077,0.355180096,0.05465764,3.274919352,38.73146275
RJ-D10-6,6.910541035,95.96521608,1.404056039,5.031122004,0.666945531,0.084916644,0.637631322,0.066098813,0.396971124,0.092197915,0.301794508,0.048368444,0.305907953,0.046997296,2.756055716,114.7148204
RJ-D2-11,38.66630909,40.7321795,9.827180194,35.94330243,4.375779117,0.331195993,2.293722294,0.401518268,1.347185916,0.377336945,0.729780914,0.145428585,0.548728158,0.077443158,7.134827206,142.9319178
RJ-D10-12,7.132718079,11.76230603,1.054015059,3.715274837,0.479767853,0.049854419,0.366263136,0.049256764,0.350026832,0.087656122,0.304455609,0.048808522,0.308639197,0.046268487,2.343456532,28.09876748
RJ-D16-4,4.259916662,60.08693499,1.010542593,3.830191931,0.627825444,0.085070114,0.549709765,0.064964123,0.39581005,0.081921464,0.256126307,0.036154967,0.218756393,0.032557845,2.386152561,73.92263521
RJ-D15-4,8.339929698,99.47069879,1.923690626,7.057525108,0.905089843,0.090921776,0.685272875,0.080541053,0.470123682,0.102485023,0.296545756,0.041397977,0.258829003,0.037143974,2.747238415,122.5074336
RJ-D2-3,2.639147371,19.4983015,0.376288707,1.203760286,0.122029135,0.011512863,0.103775956,0.010057436,0.030950053,0.009125086,0.016797752,0.002435446,0.007904572,0.001057751,0.278119303,24.31126322
RJ-D10-7,5.692513775,29.71153086,1.081280787,3.876287706,0.514623513,0.061995522,0.421124557,0.049555964,0.313365619,0.075092455,0.257286473,0.040453848,0.255010944,0.039493069,2.16696093,44.55657602
RJ-D1-2,5.633525103,118.6092431,1.114611779,3.918075698,0.517364097,0.065808761,0.518622444,0.068416742,0.228529892,0.073189381,0.139484333,0.026770255,0.082040678,0.01236105,1.918559179,132.9266025
RJ-D16-14,15.88448316,33.93767274,4.076603918,15.16769134,2.066819081,0.162055255,1.132948368,0.15290068,0.858586325,0.170688212,0.498424741,0.066288976,0.401508139,0.056849793,4.307465495,78.94098623
RJ-D16-10,7.409180719,164.5669962,1.879036042,6.985184357,1.271311154,0.140565769,1.123013683,0.143538676,0.834929378,0.15720701,0.446380802,0.061442974,0.36151889,0.050256314,3.854080462,189.2846425
RJ-D8-10,38.69781619,34.17428687,9.853067239,36.10248623,4.364286097,0.278459396,1.946350929,0.208750464,0.990091153,0.190162959,0.569866257,0.074783983,0.454555257,0.064197455,5.24807997,133.2172404
